
WAVES/D	CurvatureSequence	CurveMag	CurvePhase	EndEffects	HalfCurveMag	HalfCurvePhase	Sequence_angle_energy	Sequence_angle_exp	Sequence_angle_exp_smth	Sequence_phase
	0	0	0	0	0	0	inf	0	0.2571251029573554	0
	0	0	0	0	0	0	inf	0	0.2597887080447849	27.689
	0	0	0	0	0	0	inf	0	0.2624635125216046	67.673
	0	0	0	0	0	0	inf	0	0.2651495112401676	95.36199999999999
	0	0	0	0	0	0	inf	0	0.2678466988140584	131.348
	0	0	0	0	0	0	inf	0	0.2705550696177505	162.835
	0	0	0	0	0	0	inf	0	0.2732746177862712	198.441
	0	0	0	0	0	0	inf	0	0.2760053372148702	235.326
	0	0	0	0	0	0	inf	0	0.2787472215586942	263.015
	0	0	0	0	0	0	inf	0	0.2815002642324664	298.621
	0	0	0	0	0	0	inf	0	0.2842644584101724	335.506
	0	0	0	0	0	0	inf	0	0.2870397970247504	365.294
	0	0	0	0	0	0	inf	0	0.2898262727677867	398.95
	0	0	0	0	0	0	inf	0	0.2926238780892179	433.336
	0	0	0	0	0	0	inf	0	0.295432605197037	468.942
	0	0	0	0	0	0	inf	0	0.2982524460570061	504.928
	0	0	0	0	0	0	inf	0	0.3010833923923735	540.534
	0	0	0	0	0	0	inf	0	0.3039254356835971	574.92
	0	0	0	0	0	0	inf	0	0.3067785671680732	604.708
	0	0	0	0	0	0	inf	0	0.3096427778398699	641.593
	0	0	NAN	0	0	0	inf	0	0.3125180584494671	677.199
	0	0	NAN	0	0	0	inf	0	0.3154043995035014	704.8879999999999
	0	0	NAN	0	0	0	inf	0	0.3183017912645166	739.2739999999999
	0	0	NAN	0	0	0	inf	0	0.3212102237507197	776.1589999999999
	0	0	NAN	0	0	0	inf	0	0.3241296867357428	803.8479999999998
	0	0	NAN	0	0	0	inf	0	0.3270601697484097	838.3339999999998
	0	0	NAN	0	0	0	inf	0	0.3300016620725091	872.7199999999998
	0	0	NAN	0	0	0	inf	0	0.3329541527465729	908.7059999999998
	0	0	NAN	0	0	0	inf	0	0.3359176305636596	944.3119999999998
	0	0	NAN	0	0	0	inf	0	0.3388920840711442	975.7989999999998
	0	0	NAN	0	0	0	inf	0	0.3418775015705133	1011.405
	0	0	NAN	0	0	0	inf	0	0.3448738711171653	1045.891
	0	0	NAN	0	0	0	inf	0	0.3478811805202173	1082.776
	0	0	NAN	0	0	0	inf	0	0.3508994173423167	1114.263
	0	0	NAN	0	0	0	inf	0	0.3539285688994589	1149.869
	0	0	NAN	0	0	0	inf	0	0.3569686222608108	1185.475
	0	0	NAN	0	0	0	inf	0	0.3600195642485392	1219.961
	0	0	NAN	0	0	0	inf	0	0.3630813814376462	1254.347
	0	0	NAN	0	0	0	inf	0	0.3661540601558087	1289.953
	0	0	NAN	0	0	0	inf	0	0.369237586483225	1325.939
	0	0	NAN	0	0	0	inf	0	0.3723319462524663	1361.545
	0	0	NAN	0	0	0	inf	0	0.3754371250483343	1389.234
	0	0	NAN	0	0	0	inf	0	0.378553108207724	1423.62
	0	0	NAN	0	0	0	inf	0	0.3816798808194933	1459.226
	0	0	NAN	0	0	0	inf	0	0.384817427724337	1494.832
	0	0	NAN	0	0	0	inf	0	0.3879657335146676	1530.438
	0	0	NAN	0	0	0	inf	0	0.3911247825345015	1566.044
	0	0	NAN	0	0	0	inf	0	0.3942945588793507	1602.929
	0	0	NAN	0	0	0	inf	0	0.3974750463961211	1630.618
	0	0	NAN	0	0	0	inf	0	0.4006662286830154	1666.224
	0	0	NAN	0	0	0	inf	0	0.403868089089443	1701.83
	0	0	NAN	0	0	0	inf	0	0.407080610715935	1737.436
	0	0	NAN	0	0	0	inf	0	0.4103037764140649	1771.922
	0	0	NAN	0	0	0	inf	0	0.4135375687863761	1808.807
	0	0	NAN	0	0	0	inf	0	0.4167819701863138	1844.413
	0	0	NAN	0	0	0	inf	0	0.4200369627181642	1875.9
	0	0	NAN	0	0	0	inf	0	0.4233025282369981	1911.886
	0	0	NAN	0	0	0	inf	0	0.4265786483486219	1943.373000000001
	0	0	NAN	0	0	0	inf	0	0.4298653044095333	1979.359000000001
	0	0	NAN	0	0	0	inf	0	0.433162477526883	2013.745000000001
	0	0	NAN	0	0	0	inf	0	0.4364701485584431	2043.533000000001
	0	0.7459254980170601	2.18297971148467	0	0	0	inf	0	0.4397882981125803	2083.517000000001
	0	1.028521759775619	5.821092396442168	0	0	0	inf	0	0.443116906548236	2118.003000000001
	0	1.369266246352096	2.551833137715207	0	0	0	inf	0	0.4464559539749114	2149.490000000001
	0	1.466190132894933	1.165991935511869	0	0	0	inf	0	0.4498054202526591	2185.096000000001
	0	1.307377949181193	0.7209533309346412	0	0	0	inf	0	0.4531652849920808	2221.082000000001
	0	1.534425405486977	2.200601486561332	0	0	0	inf	0	0.4565355275543296	2256.688000000001
	0	1.457159310048898	4.928815221731604	0	0	0	inf	0	0.4599161270511204	2288.175000000001
	0	1.462492461484193	4.816665176001699	0	0	0	inf	0	0.4633070623447442	2323.781000000001
	0	1.257817747721611	5.163316995925435	0	0	0	inf	0	0.4667083120480893	2359.387000000002
	0	1.276569250164185	5.171864759771864	0	0	0	inf	0	0.4701198545246686	2394.993000000002
	0	1.456450396447554	5.432731218375423	0	0	0	inf	0	0.4735416678886525	2430.979000000002
	0	1.52908664909078	1.907158402977153	0	0	0	inf	0	0.4769737300049075	2458.668000000001
	0	1.568355769199667	2.156220357072421	0	0	0	inf	0	0.4804160184890413	2495.553000000002
	0	1.510040008004872	4.70244112877149	0	0	0	inf	0	0.4838685107074538	2527.040000000002
	0	0.9305951850506855	1.376029134761609	0	0	0	inf	0	0.4873311837773935	2562.646000000002
	0	1.375514259299062	4.069502638790318	0	0	0	inf	0	0.4908040145670209	2597.132000000002
	0	0.2758193450035026	1.746133932213461	0	0	0	inf	0	0.4942869796954766	2634.017000000002
	0	0.9030763333625029	0.2065795621950102	0	0	0	inf	0	0.4977800555329565	2669.623000000002
	0	1.063435709726144	2.409148111850229	0	0	0	inf	0	0.5012832182007926	2701.110000000002
	0	1.134440682414075	2.714038400135955	0	0	0	inf	0	0.5047964435715395	2736.716000000003
	0	1.148108975670625	3.929411873771109	0	0	0	inf	0	0.5083197072690673	2772.322000000003
	0	1.09940953624622	2.285638105469431	0	0	0	inf	0	0.51185298466866	2806.808000000003
	0	1.190365397359781	2.24460554583505	0	0	0	inf	0	0.5153962508971212	2846.792000000003
	0	1.009589956247783	2.962368892769099	0	0	0	inf	0	0.5189494808328836	2874.481000000002
	0	0.8005177109477036	0.2212362103181462	0	0	0	inf	0	0.5225126491061266	2908.967000000002
	0	1.063958985964556	1.286779740344862	0	0	0	inf	0	0.5260857300988994	2945.852000000003
	0	1.112990429628663	1.316262608977823	0	0	0	inf	0	0.5296686979452484	2981.458000000003
	0	1.109912583363767	0.03848111692015976	0	0	0	inf	0	0.5332615265313539	3009.147000000003
	0	0.3049907001633789	3.329023131704055	0	0	0	inf	0	0.5368641894956697	3049.131000000003
	0	0.383112208160135	0.97517187108771	0	0	0	inf	0	0.5404766602290704	3076.820000000002
	0	0.977348875741503	0.1883480844143151	0	0	0	inf	0	0.5440989118750039	3113.705000000003
	0	1.363596068724783	0.3820081644128379	0	0	0	inf	0	0.5477309173296516	3141.394000000003
	0	1.036401720838196	0.8968847884197331	0	0	0	inf	0	0.5513726492420921	3177.000000000003
	0	0.7208946873282576	0.8835017202880167	0	0	0	inf	0	0.5550240800144727	3213.885000000003
	0	0.5573475883379295	5.641988918214501	0	0	0	inf	0	0.5586851818021868	3241.574000000003
	0	0.6185294823835223	2.650235109760651	0	0	0	inf	0	0.5623559265140569	3277.180000000003
	0	1.024682663261456	1.742131373308347	0	0	0	inf	0	0.566036285812523	3311.666000000003
	0	0.9961768230731024	2.421411748115368	0	0	0	inf	0	0.5697262311138391	3348.551000000003
	0	0.6318407580172465	0.3777462026067866	0	0	0	inf	0	0.573425733588274	3380.038000000003
	0	0.8569494174943507	1.524907575264706	0	0	0	inf	0	0.5771347641603181	3416.923000000003
	0	0.9761755879917975	3.099832690330807	0	0	0	inf	0	0.5808532935088976	3451.409000000003
	0	1.20402578759725	6.266103447380637	0	0	0	inf	0	0.5845812920675931	3479.098000000003
	0	1.528520376487469	3.66679182638395	0	0	0	inf	0	0.5883187300248662	3519.082000000003
	0	1.492424352256899	2.580793289342893	0	0	0	inf	0	0.5920655773242898	3546.771000000003
	0	1.088173850069472	0.02252146549120937	0	0	0	inf	0	0.5958218036647864	3582.377000000003
	0	0.574384720442365	4.227255578286325	0	0	0	inf	0	0.5995873785008721	3619.262000000003
	0	1.035342094073344	3.539706205558929	0	0	0	inf	0	0.6033622710429055	3646.951000000003
	0	1.26911182771908	3.887374078200324	0	0	0	inf	0	0.607146450257344	3683.836000000003
	0	0.9320592931912788	2.836862000690779	0	0	0	inf	0	0.6109398848670053	3713.624000000003
	0	1.183896744112599	2.749413591265267	0	0	0	inf	0	0.6147425433513355	3750.509000000004
	0	0.6483080139683953	3.229827671018839	0	0	0	inf	0	0.6185543939466812	3786.115000000004
	0	0.378852212985927	6.053925072280002	0	0	0	inf	0	0.6223754046465694	3817.602000000004
	0	0.9193384045090024	3.833509948177976	0	0	0	inf	0	0.6262055432019912	3852.088000000004
	0	1.388620436023845	3.552408445993947	0	0	0	inf	0	0.630044777121692	3885.744000000004
	0	1.168811423012377	3.149737843965021	0	0	0	inf	0	0.6338930736724676	3920.130000000004
	0	1.222068103000303	3.66045431708563	0	0	0	inf	0	0.6377503998794654	3955.736000000004
	0	1.090971957261033	4.064412822351521	0	0	0	inf	0	0.6416167225264908	3991.342000000004
	0	0.7263722413046226	0.630704323014676	0	0	0	inf	0	0.6454920081563217	4025.828000000004
	0	0.451725841665549	3.233518581121722	0	0	0	inf	0	0.6493762230710252	4065.812000000004
	0	0.3424837851681944	4.339239095807436	0	0	0	inf	0	0.6532693333322823	4093.501000000004
	0	1.446554668428144	3.401672512114921	0	0	0	inf	0	0.6571713047617186	4130.386000000004
	0	0.488250563486472	1.812002934355391	0	0	0	inf	0	0.6610821029412381	4164.042000000004
	0	0.6772041161123361	0.063488872824216	0	0	0	inf	0	0.6650016932133657	4191.731000000004
	0	1.155039171911792	0.2685078166059398	0	0	0	inf	0	0.6689300406815933	4227.337000000004
	0	1.05131111813692	0.1207200957265826	0	0	0	inf	0	0.6728671102107334	4262.943000000004
	0	0.9320752764367208	0.3075676886482768	0	0	0	inf	0	0.6768128664272758	4298.549000000004
	0	1.389678326619613	3.669520119943265	0	0	0	inf	0	0.6807672737197528	4333.035000000003
	0	1.262106025172579	2.568523613627768	0	0	0	inf	0	0.6847302962391082	4367.421000000004
	0	1.395267788211541	4.168832395515523	0	0	0	inf	0	0.6887018978990729	4403.027000000004
	0	1.479560479391174	2.011256829123298	0	0	0	inf	0	0.6926820423765457	4439.912000000004
	0	0.6026198030000226	5.898668920021791	0	0	0	inf	0	0.6966706931119804	4469.700000000003
	0	0.6914192255040292	3.892590472961224	0	0	0	inf	0	0.7006678133097776	4509.684000000004
	0	0.7727834598998783	4.822978188593744	0	0	0	inf	0	0.7046733659386835	4537.373000000004
	0	0.7388746243047823	5.398112490103095	0	0	0	inf	0	0.7086873137321932	4574.258000000004
